id,name,types,rarity,combiRank,combiDuplicatePriority,maleProbability,breedable,isBoss,isRaidBoss
raid_nightlady,Raid Bellanoir,dark,10,9999,999900,0,false,true,true
raid_nightlady_dark,Raid Bellanoir Libero,dark,10,9999,999900,0,false,true,true
raid_nightlady_dark_2,Raid Bellanoir Libero Ultra,dark,10,9999,999900,0,false,true,true
raid_kingbahamut_dragon,Raid Blazamut Ryu,dragon|fire,10,9999,999900,50,false,true,true
raid_kingbahamut_dragon_2,Raid Blazamut Ryu Ultra,dragon|fire,10,9999,999900,50,false,true,true
badcatgirl,Nyafia,dark,4,1250,125000,40,true,false,false
blueberryfairy,Prunelia,grass|dark,5,1390,139000,40,true,false,false
boss_alpaca,Alpha Melpaca,normal,8,2720,272000,50,false,true,false
boss_amaterasuwolf,Alpha Kitsun,fire,8,1670,167000,50,false,true,false
boss_anubis,Alpha Anubis,ground,8,480,48000,50,false,true,false
boss_badcatgirl,Alpha Nyafia,dark,5,1250,125000,40,false,true,false
boss_baphomet,Alpha Incineram,fire|dark,8,1470,147000,50,false,true,false
boss_baphomet_dark,Alpha Incineram Noct,dark,8,1310,131000,50,false,true,false
boss_bastet,Alpha Mau,dark,5,3040,304000,50,false,true,false
boss_bastet_ice,Alpha Mau Cryst,ice,5,2750,275000,50,false,true,false
boss_berrygoat,Alpha Caprity,grass,5,2610,261000,50,false,true,false
boss_birddragon,Alpha Vanwyrm,fire|dark,7,1650,165000,50,false,true,false
boss_birddragon_ice,Alpha Vanwyrm Cryst,ice|dark,8,1430,143000,50,false,true,false
boss_blackcentaur,Alpha Necromus,dark,8,190,19000,50,false,true,false
boss_blackgriffon,Alpha Shadowbeak,dark,8,550,55000,50,false,true,false
boss_blackmetaldragon,Alpha Astegon,dragon|dark,8,490,49000,50,false,true,false
boss_blueberryfairy,Alpha Prunelia,grass|dark,8,1390,139000,40,false,true,false
boss_bluedragon,Alpha Azurobe,water|dragon,8,1830,183000,50,false,true,false
boss_blueplatypus,Alpha Fuack,water,5,2980,298000,50,false,true,false
boss_boar,Alpha Rushoar,ground,5,2880,288000,50,false,true,false
boss_brownrabbit,Alpha Lapiron,ground,5,1680,168000,50,false,true,false
boss_captainpenguin,Alpha Penking,water|ice,8,2070,207000,50,false,true,false
boss_carbunclo,Alpha Lifmunk,grass,5,3020,302000,50,false,true,false
boss_catbat,Alpha Tombat,dark,8,2340,234000,50,false,true,false
boss_catmage,Alpha Katress,dark,8,2040,204000,50,false,true,false
boss_catmage_fire,Alpha Katress Ignis,dark|fire,8,1800,180000,50,false,true,false
boss_catvampire,Alpha Felbat,dark,8,1570,157000,50,false,true,false
boss_chickenpal,Alpha Chikipi,normal,5,3080,308000,50,false,true,false
boss_colorfulbird,Alpha Tocotoco,normal,5,2730,273000,50,false,true,false
boss_cowpal,Alpha Mozzarina,normal,5,2800,280000,20,false,true,false
boss_cutebutterfly,Alpha Cinnamoth,grass,5,2620,262000,50,false,true,false
boss_cutefox,Alpha Vixy,normal,5,3060,306000,50,false,true,false
boss_cutemole,Alpha Fuddler,ground,5,2790,279000,50,false,true,false
boss_darkcrow,Alpha Cawgnito,dark,7,2370,237000,50,false,true,false
boss_darkscorpion,Alpha Menasting,dark|ground,8,1120,112000,50,false,true,false
boss_darkscorpion_ground,Alpha Menasting Terra,ground,8,640,64000,50,false,true,false
boss_deer,Alpha Eikthyrdeer,normal,7,2710,271000,50,false,true,false
boss_deer_ground,Alpha Eikthyrdeer Terra,ground,8,2580,258000,50,false,true,false
boss_dreamdemon,Alpha Daedream,dark,5,2910,291000,50,false,true,false
boss_drillgame,Alpha Digtoise,ground,8,1550,155000,50,false,true,false
boss_eagle,Alpha Galeclaw,normal,5,2570,257000,50,false,true,false
boss_eleccat,Alpha Sparkit,electric,5,3010,301000,50,false,true,false
boss_eleclion,Alpha Boltmane,electric,7,9999,999900,50,false,true,false
boss_elecpanda,Alpha Grizzbolt,electric,8,1020,102000,50,false,true,false
boss_fairydragon,Alpha Elphidran,dragon,8,2280,228000,50,false,true,false
boss_fairydragon_water,Alpha Elphidran Aqua,dragon|water,8,1640,164000,50,false,true,false
boss_fengyundeeper,Alpha Fenglope,normal,7,1960,196000,50,false,true,false
boss_firekirin,Alpha Pyrin,fire,8,1980,198000,50,false,true,false
